word,ipa
frei,/fʁaɪ̯/
umsonst,/ʊmˈzɔnst/
ab-,/ap/
Dezember,/deˈtsɛmbɐ/
UdSSR,/udeʔɛsʔɛsˈʔɛʁ/
Samstag,/ˈzamstaːk/
MG,/ɛmˈɡeː/
NC,/ɛnˈtseː/
Amazonas,/amaˈt͡soːnas/
sehen,/ˈzeːən/
betun,/bəˈtuːn/
Taiwaner,[taɪ̯ˈvaːnɐ]
sicher,/ˈzɪçər/
französisch,/fʁanˈtsøːzɪʃ/
mutig,/ˈmuːtɪç/
Possessivpronomen,[pɔsɛˈsiːfpʁoˌnoːmən]
Apfel,/ˈɛpfəl/
Warenkorb,[ˈvaːʁənˌkɔʁp]
Bestellung,/bəˈʃtɛlʊŋ/
Kugel,/ˈkuːɡəl/
Sonnabend,/ˈzɔˌnaːbənt/
Papierflieger,/paˈpiːɐ̯ˌfliːɡɐ/
MP,/ɛmˈpeː/
Parlament,/paʁlaˈmɛnt/
wir,/viːɐ̯/
geben,[ɡeːb(ə)n]
langsam,/ˈlaŋzaːm/
Honig,/ˈhoːnɪç/
Wissenschaft,/ˈvɪsənʃaft/
Fisch,/fɪʃ/
Feder,/ˈfeːdəʁ/
Straße,/ˈʃtʁaːsə/
U-Bahn,/ˈʔuːbaːn/
Impressum,/ɪmˈpʁɛsʊm/
Vakuum,/ˈvaːkuʊm/
Zigarette,/ˌtsi(ː).ɡaˈʁɛ.tə/
neunzehn,/ˈnɔɪ̯nt͡seːn/
Maus,/maʊ̯s/
Lexikon,/ˈlɛksikɔn/
Sohle,/ˈzoːlə/
Talsohle,/ˈtaːlˌzoːlə/
schnell,/ʃnɛl/
Nachtwächter,/ˈnaxtˌvɛçtɐ/
Wodka,/ˈvɔtka/
englisch,/ˈɛŋlɪʃ/
Zeitgeist,/ˈtsaɪ̯t.ɡaɪ̯st/
Hannover,/ˈhɑno(ː)ʋer/
Schiebedach,/ˈʃiːbəˌdaχ/
Schicksal,/ˈʃɪk.zaːl/
glauben,/ˈɡlaʊ̯bən/
biegen,/ˈbiːɡən/
Fenster,/ˈfɛnstɐ/
gewöhnlich,/ɡəˈvøːnlɪç/
Übersetzungswörterbuch,/yːbɐˈzɛt͡sʊŋsˌvœʁtɐbuːx/
Mittag,/ˈmɪtaːk/
Brustwarze,[ˈbʁʊstˌvaʁt͡sə]
lettisch,/ˈlɛtɪʃ/
Nacktschnecke,/ˈnaktˌʃnɛkə/
Brandenburg,[ˈbʁandn̩bʊʁk]
Mecklenburg-Vorpommern,/ˌmeːklənbʊʁkˈfoːɐ̯ˌpɔmɐn/
Saarland,/ˈzaːrlant/
Nilpferd,/ˈniːlˌp͡feːɐ̯t/
Flusspferd,/ˈflʊsˌp͡feːɐ̯t/
etwas,/ˈɛtvas/
Baske,/ˈbaskə/
Baskenmütze,/ˈbaskənˌmʏtsə/
Tisch,/tɪʃ/
müde,/ˈmyːdə/
Schneeball,/ʃneːbal/
Pickelhaube,[ˈpɪkl̩ˌhaʊ̯bə]
übersetzen,/ˈyːbərˌzɛtsən/
Wörterbuch,/ˈvœʁtɐˌbuːx/
Menge,/ˈmɛŋə/
deutsch,/dɔʏ̯t͡ʃ/
Kuh,/kuː/
Welt,/vɛlt/
Teilung,/ˈtaɪ̯lʊŋ/
Abteilung,/apˈtaɪ̯lʊŋ/
Wermut,/ˈveːʁˌmuːt/
Pflanze,/ˈpflan(t)sə/
pflanzen,/ˈpflantsn̩/
Heimweh,/ˈhaɪ̯mˌveː/
Fernweh,/ˈfɛʁnveː/
Birne,/ˈbɪrnə/
Landkarte,/ˈlantˌkaʁtə/
unter,-ʊntɐ
Stadt,/ʃtat/
Leber,/ˈleːbɐ/
Fahrrad,/ˈfaːrˌra(ː)t/
Freude,/ˈfʁɔʏ̯də/
Witz,/vɪt͡s/
böse,/ˈbøːzə/
übel,/ˈʔyːbl̩/
Affe,[ˈafə]
Insel,/ˈɪnzəl/
Schlucht,/ʃlʊχt/
Geist,/ɡaɪ̯st/
